DateTime,internal_txn_id,platform_txn_id,Venue,Transaction Type,Base Asset,Base Asset Amount,Quote Asset,Quote Asset Amount,Price Paid,Txn Fee Asset,Txn Fee Paid Quantity,Txn_Total,NOTES
2022-04-29T05:14:23.000Z,2011,3zZZ6aymFCSvwRFknhCg7iHzPef31SkjTjZLfuS62NEw7ym39KMKgiCxACH3AkypipHyK7FQoEdTE8Xfewm7AFDH,MagicEden,SELL (NFT Swap),NFT-CET-#5444,1.000000000,USD,5566.89,"5,566.89",,,,Sell CET for 64 SOL
2022-04-29T05:14:23.000Z,2011,3zZZ6aymFCSvwRFknhCg7iHzPef31SkjTjZLfuS62NEw7ym39KMKgiCxACH3AkypipHyK7FQoEdTE8Xfewm7AFDH,MagicEden,BUY (NFT Swap),SOL,57.036800000,USD,5566.89,97.60,,,,Sell CET for 64 SOL
2022-04-29T06:07:31.000Z,2012,57ktk7DPnMJPSFXNp2woNSMkKFQpr7QixFaJVqPLxS5DTniQ5R3rKUva83WkMcEnfg97KCha652fihKtPjqo8B69,MagicEden,SELL (NFT Swap),SOL,109.800000000,USD,10718.68,97.62,,,,Buy OKB for 109.8 SOL
2022-04-29T06:07:31.000Z,2012,57ktk7DPnMJPSFXNp2woNSMkKFQpr7QixFaJVqPLxS5DTniQ5R3rKUva83WkMcEnfg97KCha652fihKtPjqo8B69,MagicEden,BUY (NFT Swap),NFT-OKB-9727,1.000000000,USD,10718.68,"10,718.68",,,,Buy OKB for 109.8 SOL
2022-05-08T17:44:32.000Z,2013,4iB3nphSNPZF3PW9css33miRVFpjqZeMJdDVcF7kPk6LPdZGb7ne9QSscckdYeYoaEsecitAEMaj6VSJwnvhWyfk,MagicEden,SELL (NFT Swap),NFT-CET-MELK,1.000000000,USD,759.38,759.38,,,,Sell Cets Melk for 11.25 SOL
2022-05-08T17:44:32.000Z,2013,4iB3nphSNPZF3PW9css33miRVFpjqZeMJdDVcF7kPk6LPdZGb7ne9QSscckdYeYoaEsecitAEMaj6VSJwnvhWyfk,MagicEden,BUY (NFT Swap),SOL,9.945000000,USD,759.38,76.36,,,,Sell Cets Melk for 11.25 SOL
2022-05-20T18:36:18.000Z,2014,2yCHkGsiwoQk2ugLhM1DTiCHJrf7GdbeYWy26tsfbETTgy8NHWK7w2FxhG7Wbe6cYGWLQ2Nob6oTxko5uZzM5XFg,MagicEden,SELL (NFT Swap),NFT-OKB-9727,1.000000000,USD,8659.14,"8,659.14",,,,Sell OKB for 195 SOL
2022-05-20T18:36:18.000Z,2014,2yCHkGsiwoQk2ugLhM1DTiCHJrf7GdbeYWy26tsfbETTgy8NHWK7w2FxhG7Wbe6cYGWLQ2Nob6oTxko5uZzM5XFg,MagicEden,BUY (NFT Swap),SOL,176.475000000,USD,8659.14,49.07,,,,Sell OKB for 195 SOL
2022-06-17T18:24:52.000Z,2015,ocAudTdawtJcSGAb8Ku1w6y2Z6gJEGomHHUw9twPiCTJ6ZxwsypmzMEGstgjrqf82CBtxFdQnoho71b8chRFFAK,MagicEden,SELL (NFT Swap),NFT-SMB-4763,1.000000000,USD,6230.70,"6,230.70",,,,Sell Monke for 215 SOL
2022-06-17T18:24:52.000Z,2015,ocAudTdawtJcSGAb8Ku1w6y2Z6gJEGomHHUw9twPiCTJ6ZxwsypmzMEGstgjrqf82CBtxFdQnoho71b8chRFFAK,MagicEden,BUY (NFT Swap),SOL,197.800000000,USD,6230.70,31.50,,,,Sell Monke for 215 SOL
2022-07-15T22:35:45.000Z,1008,ETH_0xa01df1175f5243f6bf8712f1cd754baea595874ed06a5fd2fd156d38ad8749b2,SPASS_MINT,SELL (NFT Swap),ETH,0.41,USD,513.51,"1,252.45",,,,1of2 Mint SPASS 687
2022-07-15T22:35:45.000Z,1008,ETH_0xa01df1175f5243f6bf8712f1cd754baea595874ed06a5fd2fd156d38ad8749b2,SPASS_MINT,BUY (NFT Swap),SPASS-687,1.00,USD,513.51,513.51,,,,2of2 Mint SPASS 687
2022-07-15T22:37:40.000Z,1009,ETH_0x172c0196f922d2b450e796ec2e6cec93e7bd0479963e58de51866b3e00a9f333,SPASS_MINT,SELL (NFT Swap),ETH,0.41,USD,513.51,"1,252.45",,,,1of4 Mint SPASS 687
2022-07-15T22:37:40.000Z,1009,ETH_0x172c0196f922d2b450e796ec2e6cec93e7bd0479963e58de51866b3e00a9f333,SPASS_MINT,BUY (NFT Swap),SPASS-692,1.00,USD,513.51,513.51,,,,2of4 Mint SPASS 687
2022-07-15T22:37:40.000Z,1009,ETH_0x172c0196f922d2b450e796ec2e6cec93e7bd0479963e58de51866b3e00a9f333,SPASS_MINT,SELL (NFT Swap),ETH,0.41,USD,513.51,"1,252.45",,,,3of4 Mint SPASS 687
2022-07-15T22:37:40.000Z,1009,ETH_0x172c0196f922d2b450e796ec2e6cec93e7bd0479963e58de51866b3e00a9f333,SPASS_MINT,BUY (NFT Swap),SPASS-693,1.00,USD,513.51,513.51,,,,4of4 Mint SPASS 687
2022-08-25T19:59:17.000Z,2015,3cLxtvHGjsNGTuvyXUVpH1XzpL6KTzDBQbhhCnWRgHx9p2DdHx2M22eMRLhGzp2cw26vN9ySbEsRxAuooLssQMVa,MagicEden,SELL (NFT Swap),SOL,2.497000000,USD,89.34,35.78,,,,Buy Duck for 2.497 SOL
2022-08-25T19:59:17.000Z,2015,3cLxtvHGjsNGTuvyXUVpH1XzpL6KTzDBQbhhCnWRgHx9p2DdHx2M22eMRLhGzp2cw26vN9ySbEsRxAuooLssQMVa,MagicEden,BUY (NFT Swap),NFT-Duck-#4414,1.000000000,USD,89.34,89.34,,,,Buy Duck for 2.497 SOL
2022-09-02T19:27:36.000Z,2016,5qTCaUAhGrAC6Dfb5tiw3GQTPpMGzuMZHnoQauRo8tugusGCip5nzrsC3JYaRDQafazszhNwGSMyco1ZTbme38ns,MagicEden,SELL (NFT Swap),SOL,6.890000000,USD,214.40,31.12,,,,Buy Duck for 6.89 SOL
2022-09-02T19:27:36.000Z,2016,5qTCaUAhGrAC6Dfb5tiw3GQTPpMGzuMZHnoQauRo8tugusGCip5nzrsC3JYaRDQafazszhNwGSMyco1ZTbme38ns,MagicEden,BUY (NFT Swap),NFT-Duck-#3124,1.000000000,USD,214.40,214.40,,,,Buy Duck for 6.89 SOL
